Category ,JSON,Key ,English (John edit),Vietnamese,Korean,Thai,French,Japanese,Indonesian,German,Spanish
Home page ,common,BUTTON.EXPLORE,Explore ,Khám phá,탐색,สำรวจ,Explorer,探索,Jelajahi,Entdecken,Explorar
,homePage,HOT_COLLECTION,Hot Collection ,Bộ sưu tập hot,핫 컬렉션🔥,คอลเลคชั่นที่น่าสนใจ,Collection chaude,ホットなコレクション,Koleksi Panas,Heiße Sammlung,Colección popular
,homePage,BUTTON.PROFILE,PROFILE,HỒ SƠ,프로필,โปรไฟล์,PROFIL,プロフィール,PROFIL,PROFIL,PERFIL
,common,BUTTON.CREATE,Create,Tạo mới,생성,สร้าง,Créer,作成,Buat,Erstellen,Crear
,homePage,HOME_PAGE_TITLE,"Discover, collect, and sell exciting NFTs","Khám phá, thu thập và bán NFT",흥미로운 NFT를 탐색하고 수집하고 판매하기,"ค้นหา, เก็บ, และ ขาย NFT ที่น่าสนใจ","Découvrez, collectionnez et vendez des NFT passionnants",エキサイティングなNFTを発見、収集、販売,"Temukan, kumpulkan, dan jual NFT yang menarik","Entdecken, sammeln und verkaufen Sie spannende NFTs","Descubre, colecciona y vende emocionantes NFTs"
,homePage,HOME_PAGE_DESCRIPTION,[stan] NFT marketplace is the world's first and largest NFT marketplace only for Artists,Stan Marketplace là thị trường NFT đầu tiên và lớn nhất thế giới dành cho nghệ sĩ,Stan Marketplace는 아티스트를 위한 세계 최초이자 최대 규모의 NFT 마켓플레이스입니다,ซื้อขายผลงาน NFT ใน Stan มาร์เก็ตเพลส มาร์เก็ตเพลสที่ใหญ่ที่สุดสำหรับศิลปิน,La place de marché NFT [stan] est la première et la plus grande place de marché NFT au monde réservée aux artistes !,[stan] NFTマーケットプレイスは、アーティスト専用の世界初かつ最大のNFTマーケットプレイスです！,Pasar [stan] NFT adalah pasar NFT pertama dan terbesar di dunia hanya untuk Artis!,Der [stan] NFT-Marktplatz ist der weltweit erste und größte NFT-Marktplatz nur für Künstler!,¡El mercado de NFTs de [stan] es el primer y más grande mercado de NFTs solo para artistas del mundo!
,common,BUTTON.SEE_ALL,See All,Xem tất cả,모두보기,ดูทั้งหมด,Tout voir,すべて見る,Lihat Semua,Alle sehen,Ver todo
,homePage,HOT_BIDS,Hot Bids,Giá cả hấp dẫn,핫 비드🎉,การประมูลที่กำลังมาแรง,Enchères en cours,ホットな入札,Tawaran Panas,Heiße Gebote,Ofertas populares
,homePage,LIVE_AUCTION,Live Auction,Đấu giá trực tiếp,라이브 옥션,ไลฟ์สดการประมูล,Enchères en direct,ライブオークション,Lelang Langsung,Live-Auktion,Subasta en vivo
,homePage,NONE_NFT,No NFT's are in auction now,Hiện không có NFT nào trong phiên đấu giá,현재 경매 진행중인 NFT가 없습니다,ตอนนี้ยังไม่มีงาน NFT ให้ประมูล,Aucun NFT n'est en vente en ce moment,現在、オークションに出品されているNFTはありません,Tidak ada NFT yang dilelang sekarang,Derzeit sind keine NFTs in der Auktion,No hay NFTs en subasta ahora
